pickup_longitude,pickup_latitude,region
-73.96135711669923,40.806640625,0
-73.94967651367188,40.801151275634766,0
-73.95454406738281,40.80571746826172,0
-73.96027374267578,40.81319046020508,0
-73.9622802734375,40.80501174926758,0
-73.9503402709961,40.81121444702149,0
-73.9267578125,40.81078338623047,0
-73.95594024658203,40.80350875854492,0
-73.95732879638672,40.80660629272461,0
-73.94212341308595,40.795372009277344,0
-73.93698120117188,40.79826354980469,0
-73.95352172851561,40.806861877441406,0
-73.93006896972656,40.79507064819336,0
-73.94014739990233,40.79387664794922,0
-73.95098114013672,40.80842590332031,0
-73.96197509765625,40.805423736572266,0
-73.95814514160156,40.80084991455078,0
-73.95277404785155,40.80806350708008,0
-73.96117401123048,40.80707931518555,0
-73.94405364990233,40.79529571533203,0
-73.9582290649414,40.810733795166016,0
-73.93212127685547,40.79536819458008,0
-73.9649658203125,40.806987762451165,0
-73.93791961669923,40.80359649658203,0
-73.96437072753906,40.8083610534668,0
-73.96038818359375,40.80986022949219,0
-73.96280670166014,40.809917449951165,0
-73.94943237304686,40.80216979980469,0
-73.93898010253906,40.799419403076165,0
-73.9388427734375,40.791458129882805,0
-73.9572525024414,40.80197143554688,0
-73.94551086425781,40.80796051025391,0
-73.95527648925781,40.804630279541016,0
-73.93495178222656,40.80093765258789,0
-73.95240783691406,40.7994384765625,0
-73.95897674560547,40.799407958984375,0
-73.93855285644531,40.804931640625,0
-73.95037841796875,40.80221176147461,0
-73.9580535888672,40.800899505615234,0
-73.95276641845702,40.81085586547852,0
-73.9612579345703,40.80623245239258,0
-73.95294189453125,40.81045913696289,0
-73.9384536743164,40.79599380493164,0
-73.93974304199219,40.80538940429688,0
-73.95909118652342,40.80950164794922,0
-73.93766021728516,40.801372528076165,0
-73.95565795898438,40.804481506347656,0
-73.95379638671875,40.806640625,0
-73.93907165527342,40.81075668334961,0
-73.93857574462889,40.80495834350586,0
-73.95418548583984,40.80604553222656,0
-73.9586639404297,40.80010986328125,0
-73.95101928710938,40.80756378173828,0
-73.94600677490233,40.80217742919922,0
-73.95687866210938,40.80248641967773,0
-73.96087646484375,40.80709838867188,0
-73.93392944335938,40.8028678894043,0
-73.93577575683594,40.796199798583984,0
-73.96072387695312,40.806907653808594,0
-73.92711639404298,40.80672836303711,0
-73.96148681640625,40.8069725036621,0
-73.93389892578125,40.80245971679688,0
-73.96221923828125,40.80529022216797,0
-73.95691680908203,40.8126335144043,0
